Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
205290;ADM;ABIEN;9;17;10;4;18;14;15;15;18;13;;15;222;F;16;CEG ADOUHO
205291;AJ;;0;11;11;2;9;6;9;9;15;14;;12;139;F;13;CEG VOGAN VILLE I
205292;ADM;BIEN;4;18;13;13;19;11;18;17;17;14;;15;247;M;16;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205293;ADM;PASS;0;7;10;8;13;8;13;8;16;13;14;;166;M;16;CPL LE GUIDE
205294;ADM;PASS;1;15;10;7;15;6;13;7;13;12;6;;160;F;15;CS LE CADRE DES ELITES
205295;AJ;;0;6;7;4;8;7;10;6;14;15;;10;123;F;19;CEG VOGAN VILLE I
205296;AJ;;0;5;9;3;11;5;12;9;12;13;;14;134;F;19;CEG VOGAN VILLE I
205297;ADM;BIEN;13;15;14;15;14;15;18;20;15;10;;11;251;M;14;LYCEE VO-KOUTIME
205298;AJ;;0;5;8;2;11;16;9;6;8;13;;15;133;F;16;LYCEE VO-KOUTIME
205299;AJ;;0;12;9;3;13;7;9;2;12;14;0;;126;M;20;CPL LA GRACE 
205300;AJ;;0;7;9;3;17;9;11;6;14;11;9;;146;M;18;LYCEE VO-KOUTIME
205301;AJ;;0;6;7;7;12;8;12;4;13;11;;8;133;M;19;CEG VOGAN VILLE I
205302;ADM;PASS;1;6;7;7;12;11;15;10;13;11;;13;161;M;16;LYCEE VO-KOUTIME
205303;AJ;;0;2;8;6;14;6;9;6;10;15;;8;125;F;18;CEG VOGAN VILLE I
205304;ADM;PASS;1;7;8;6;15;8;13;8;16;15;8;;161;F;19;CS LA REUSSITE
205305;ADM;ABIEN;0;16;9;13;18;9;17;17;16;11;12;;217;M;15;CEG VOGAN VILLE I
205306;ADM;ABIEN;0;10;15;7;16;8;18;12;12;14;15;;195;F;15;CS LA REUSSITE
205307;ADM;ABIEN;0;9;9;9;15;11;14;17;13;12;;16;192;F;19;CEG ADOUHO
205308;AJ;;0;6;9;5;14;10;10;8;13;14;10;;148;F;15;CS LA REUSSITE
205309;AJ;;0;5;7;4;11;6;15;6;13;14;14;;137;M;18;CS LA REUSSITE
205310;AJ;;0;4;8;2;5;8;9;4;6;Inap.;;7;88;F;16;CS LA REUSSITE
205311;AJ;;0;3;7;1;4;5;6;1;10;15;10;;76;M;16;CS LA REUSSITE
205312;AJ;;0;5;10;3;10;9;5;2;10;15;0;;108;F;21;CPL LA GRACE 
