Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
405819;AJ;;0;2;9;4;4;9;7;12;12;15;8;;121;F;20;LYCEE LANGABOU
405820;ADM;PASS;0;4;10;6;16;10;16;8;13;14;11;;167;M;17;LYCEE LANGABOU
405821;AJ;;0;5;11;4;14;9;14;5;12;15;13;0;151;M;15;LYCEE LANGABOU
405822;AJ;;0;7;12;5;7;7;8;1;12;15;7;;116;M;18;CEG ATIKPAÏ
405823;AJ;;3;8;11;5;14;6;10;1;11;10;16;;132;M;15;CEG KOFFITI
405824;ADM;ABIEN;8;6;11;6;14;13;17;9;15;13;15;;192;M;19;CEG ATIKPAÏ
405825;ADM;ABIEN;11;11;13;8;15;14;18;7;14;12;13;;205;M;15;LYCEE LANGABOU
405826;ADM;PASS;1;8;11;6;15;8;13;7;12;12;17;;160;M;19;LYCEE LANGABOU
405827;AJ;;0;4;10;5;7;4;9;3;9;15;9;;103;M;21;CEG KOFFITI
405828;ADM;PASS;15;7;10;6;13;8;15;7;16;12;14;;178;F;19;CEG ATIKPAÏ
405829;AJ;;15;5;10;5;9;8;6;1;9;15;8;;121;M;21;CEG KOFFITI
405830;ADM;ABIEN;17;9;15;9;16;12;16;4;13;15;13;;204;F;16;LYCEE LANGABOU
405831;ADM;PASS;15;9;14;6;15;7;16;2;15;15;13;;182;F;14;LYCEE LANGABOU
405832;AJ;;12;7;8;4;12;7;8;2;13;13;5;;130;F;14;LYCEE LANGABOU
405833;ADM;PASS;0;7;12;7;13;9;12;5;16;15;11;;161;M;19;CEG KOFFITI
405834;ADM;PASS;3;7;10;12;16;9;15;7;15;14;13;;185;M;17;LYCEE LANGABOU
405835;AJ;;0;6;12;9;11;8;11;6;11;12;12;;146;F;22;LYCEE LANGABOU
405836;AJ;;0;2;10;5;8;6;12;3;9;13;6;;111;M;14;CEG KOFFITI
405837;ADM;PASS;13;7;10;7;11;9;14;7;10;14;11;;161;M;18;CEG KOFFITI
