Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
610410;AJ;;0;6;8;5;10;8;8;3;7;14;15;;113;F;17;LYCEE DE CINKASSE
610411;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;M;23;LYCEE DE CINKASSE
610412;ADM;ABIEN;2;8;12;12;18;15;17;13;14;15;14;;221;F;16;CPL DON BOSCO
610413;ADM;PASS;4;12;12;8;17;13;14;5;12;15;11;;184;M;17;LYCEE DE CINKASSE
610414;ADM;PASS;2;6;11;2;18;15;12;7;9;12;12;;160;M;23;LYCEE BIANKOURI
610415;ADM;PASS;0;6;8;8;18;8;12;11;13;15;15;;172;M;21;CPL LA RELEVE
610416;ADM;PASS;0;10;10;2;18;12;16;6;12;14;7;;166;M;18;LYCEE BIANKOURI
610417;AJ;;0;5;10;4;17;7;7;6;6;13;15;;127;F;17;LYCEE DE CINKASSE
610418;ADM;PASS;1;7;8;8;16;10;12;8;10;13;15;;160;F;14;LYCEE DE CINKASSE
610419;ADM;PASS;0;5;9;8;17;12;13;7;11;12;15;;166;F;18;LYCEE DE CINKASSE
610420;ADM;PASS;1;8;10;6;18;10;11;8;11;11;13;;161;M;18;LYCEE BIANKOURI
610421;ADM;PASS;0;7;11;8;19;11;15;8;13;13;12;;182;M;17;CPL J J ROUSSEAUX-CINKASSE
610422;AJ;;0;8;9;4;14;10;10;4;9;13;11;;132;M;18;CEG BOADÉ
610423;AJ;;8;8;8;6;15;11;11;6;7;15;12;;151;F;23;CPL DON BOSCO
610424;AJ;;0;2;9;3;5;6;7;2;3;13;14;;79;F;21;LYCEE DE CINKASSE
610425;ADM;PASS;1;6;13;7;18;11;16;7;10;11;15;;177;M;19;LYCEE DE CINKASSE
610426;AJ;;0;5;9;3;11;13;11;3;9;15;11;;129;M;20;CEG BOADÉ
610427;ADM;PASS;4;17;11;6;15;14;15;4;11;13;15;;181;M;21;LYCEE DE CINKASSE
610428;ADM;PASS;1;8;13;5;10;16;14;5;10;12;13;;160;M;15;CPL BANGRE II
610429;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;M;21;LYCEE DE CINKASSE
610430;ADM;PASS;9;11;12;6;15;14;16;5;9;13;16;;182;M;16;LYCEE DE CINKASSE
610431;ADM;PASS;0;12;11;6;14;11;12;6;12;13;16;;164;M;18;CPL J J ROUSSEAUX-CINKASSE
610432;ADM;PASS;0;8;13;7;17;12;14;9;7;15;12;;173;M;18;LYCEE DE CINKASSE
610433;ADM;PASS;2;7;14;9;16;14;12;3;8;13;15;;169;F;17;LYCEE DE CINKASSE
610434;ADM;ABIEN;0;11;15;6;18;10;14;10;14;15;16;;195;F;20;LYCEE BIANKOURI
610435;AJ;;0;6;8;4;14;11;10;5;8;14;13;;133;F;20;LYCEE DE CINKASSE
610436;AJ;;1;5;10;1;10;10;5;2;4;14;15;;99;M;16;CEG BOADÉ
610437;AJ;;0;11;11;4;10;11;12;3;9;14;14;;139;F;20;CEG BOADÉ
610438;AJ;;0;9;11;2;6;11;7;2;5;14;12;;103;F;20;CEG BOADÉ
610439;ADM;PASS;0;11;10;10;17;15;14;7;12;14;16;;190;F;17;CPL BANGRE II
610440;ADM;PASS;5;10;13;4;12;14;13;3;9;14;17;;160;M;18;CPL BANGRE II
610441;AJ;;0;5;10;3;11;14;9;1;10;15;11;;127;M;16;CPL BANGRE II
610442;AJ;;0;5;9;1;12;9;13;3;10;15;12;;126;F;16;CEG BOADÉ
610443;AJ;;1;11;8;2;12;9;9;5;9;15;13;;128;M;19;CPL J J ROUSSEAUX-CINKASSE
610444;ADM;PASS;1;12;9;5;12;14;13;7;9;15;14;;160;M;15;CPL BANGRE II
610445;ADM;PASS;2;11;12;1;12;13;15;7;12;12;15;;164;M;15;CEG BOADÉ
610446;AJ;;0;9;13;3;10;6;11;1;10;15;10;;122;M;18;CPL J J ROUSSEAUX-CINKASSE
610447;AJ;;2;8;8;4;10;6;11;1;6;15;11;;108;M;19;CPL BANGRE II
610448;AJ;;0;7;11;3;6;9;8;3;8;15;11;;109;F;19;LYCEE DE CINKASSE
610449;AJ;;0;10;10;5;8;9;11;2;9;13;13;;124;M;18;CEG BOADÉ
610450;AJ;;14;11;7;4;11;10;8;3;10;13;11;;135;F;18;CEG BOADÉ
610451;AJ;;3;12;10;3;12;9;10;4;7;13;0;;128;F;17;CEG BOADÉ
610452;AJ;;0;9;11;2;15;7;8;3;10;15;15;;131;M;15;CEG BOADÉ
610453;ADM;PASS;4;10;12;4;17;7;13;6;10;15;14;;161;M;24;COLLEGE PRIVE BANGRE
610454;ADM;ABIEN;6;10;13;11;19;12;16;13;12;15;14;;217;F;15;LYCEE BIANKOURI
610455;ADM;PASS;10;9;11;6;18;7;17;7;13;10;16;;182;F;18;LYCEE DE CINKASSE
610456;AJ;;0;5;8;4;14;11;13;6;5;15;8;;132;F;18;LYCEE DE CINKASSE
610457;AJ;;0;4;7;4;5;5;7;6;7;15;11;;92;F;22;LYCEE DE CINKASSE
610458;ADM;ABIEN;8;10;9;9;17;10;17;12;12;13;17;;198;M;21;LYCEE DE CINKASSE
610459;ADM;PASS;6;6;10;4;17;11;9;6;13;15;13;;160;M;18;LYCEE BIANKOURI
610460;ADM;PASS;2;12;11;7;15;9;15;7;11;15;15;;174;F;13;LYCEE DE CINKASSE
610461;AJ;;0;6;8;5;13;8;15;5;9;15;14;;141;F;17;LYCEE DE CINKASSE
610462;AJ;;2;4;8;5;4;4;9;3;7;14;12;;92;F;20;LYCEE DE CINKASSE
610463;AJ;;5;13;8;5;7;11;8;4;9;13;15;;130;M;20;LYCEE DE CINKASSE
610464;ADM;ABIEN;5;10;11;9;18;15;13;10;10;14;15;;196;F;15;LYCEE BIANKOURI
610465;AJ;;3;13;8;7;8;10;12;7;9;0;8;;138;F;18;CPL J J ROUSSEAUX-CINKASSE
